fragment_smiles,count
[13*][C@@H]1O[C@H]([13*])[C@@H]([15*])[C@H]1O,7
[16*]c1ccc(O)c([16*])c1,7
[8*]CCCCCCCCCCC,7
[14*]c1nc2ccccc2cc1O,7
[6*]C(=O)[O-],7
[13*][C@@H]1O[C@H]([13*])[C@@H]([15*])[C@H](O)[C@H]1O,7
[13*]C1CC(O)C([15*])C(C)O1,7
[13*]C1CC([15*])C([15*])C(C)O1,7
[8*]CC=O,7
[1*]C(=O)[C@H]([8*])O,7
[16*]c1ccc(N)cc1,7
[1*]C(=O)CN,7
[3*]O[C@H]1C[C@@H](O)[C@H](O[3*])[C@@H](C)O1,7
[8*]C(C)C(=O)O,7
[16*]c1c[nH]c(=O)c([16*])c1O,7
[4*]CCCCN[5*],7
[1*]C(=O)[C@H](O)C[8*],7
[1*]C(=O)[C@H](CC(N)=O)N[5*],7
[3*]OC(C)C,7
[9*]n1cnc2cnc(N)nc21,7
[5*]NC([8*])C(=O)O,7
[1*]C(=O)C(C)=O,7
[5*]N/C=C/C([7*])C,7
[7*]CCCCCCCCC[7*],7
[16*]c1c[nH]c2ccc(Cl)cc12,7
[3*]O[C@H]([8*])CC(=O)O,7
[7*]CCC(O)CC(O)CC(O)CC(O)C[7*],7
[5*]NC(N)=NC,7
[5*]NCCC(=N)N,7
[1*]C(=O)C(CC[4*])N[5*],7
[1*]C(=O)[C@H](CCCN(O)C(C)=O)N[5*],7
[5*]NC(C(=O)O)C(O)C(N)=O,7
[8*][C@H](O)CC(=O)O,7
[1*]C(=O)[C@H](CCCCN)N[5*],7
[5*]Nc1c(O)ccc([16*])c1O,7
[1*]C(=O)CC[8*],7
[5*]NC1CCCN(O)C1=O,7
[1*]C(=O)[C@@H](C[4*])N[5*],7
[3*]Oc1cc([16*])cc(O)c1[16*],7
[16*]c1cc([16*])c([16*])c(O)c1,7
[7*]Cc1cc(Br)c(O)c(Br)c1,6
[14*]c1ncccc1O,6
[3*]O[C@H]1C[C@@H]([15*])[C@@H](O)[C@H](C)O1,6
[3*]O[C@H]1[C@H]([15*])[C@@H](N)C[C@@H](N)[C@@H]1O,6
[15*][C@H]1[C@H]([15*])[C@@H](N)C[C@@H](N)[C@@H]1O,6
[3*]O[C@H]1[C@H]([15*])[C@@H](O)[C@H](N)C[C@@H]1N,6
[3*]O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[3*],6
[15*][C@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C,6
[8*]CCCNO,6
[3*]OC1OC([13*])C([15*])C(O)C1O,6
[8*]CCCN(O)C(C)=O,6
[4*]CCN[5*],6
[5*]NCC[7*],6
[1*]C(=O)C([4*])C,6
[1*]C(=O)C(N)C[8*],6
[5*]N[C@@H]1[C@@H](O)[C@H](O)[C@@H]([13*])O[C@H]1[13*],6
[3*]O[C@@H]1O[C@H]([13*])[C@@H](O)[C@H](O)[C@H]1N[5*],6
[3*]OC1C([15*])CC([13*])OC1C,6
[13*]C1CCC([15*])C(C)O1,6
[16*]c1c(O)c(Cl)c(C)c(C=O)c1O,6
[1*]C(=O)C[C@@H](O)CCCCCCC,6
[5*]NCCCCN[5*],6
[5*]N[C@@H](C)CO,6
[1*]C(=O)[C@H](N[5*])[C@H](C)CC,6
[5*]N1[C@H]([13*])C[C@@H]2CC[C@@H]([15*])C[C@@H]21,6
Cc1c(=O)c(=O)c2c3c[nH]c4c(C)c(=O)c(=O)c(c5c[nH]c1c52)c43,6
[5*]NC(C=O)CCCN=C(N)N,6
[7*]Cc1ccc(O)c(C)c1,6
[5*]N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,6
[15*][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,6
[8*]C(O)C(C)C,6
[4*]C(C)C,6
[1*]C(=O)C([7*])[8*],6
[8*]C[C@@H]1NC(=O)N([10*])C1=O,6
[10*]N1C(=O)N[C@@H]([13*])C1=O,6
[1*]C(=O)[C@@H](N)CC(C)C,6
[1*]C(=O)C[C@H](O)CCCCCCCCC,6
[1*]C(=O)[C@@H](CCCN(O)N=O)N[5*],6
[5*]N[C@H](CCCN(O)N=O)C(=O)O,6
[7*]Cc1csc([14*])n1,6
[3*]OC1CC(C)(O)C(O)C(C)O1,6
[13*]C1CC(C)(O)C(O)C(C)O1,6
[8*][C@H](O)[C@H]([8*])O,6
[7*]C1C(=O)N[C@@H]([13*])C1=O,6
[7*]C/C=N/OC,6
[16*]c1ccc(O)c([N+](=O)[O-])c1,6
[8*]Cc1ccc(O)c([N+](=O)[O-])c1,6
[14*]c1cc([16*])cc(=O)o1,6
[3*]O[C@@H]1C[C@H](O)[C@@H]([15*])[C@H](C)O1,6
[13*][C@@H]1C[C@H](O)[C@@H]([15*])[C@H](C)O1,6
[1*]C(=O)/C=C/N[5*],6
[4*]C(CCCCC[7*])(CC(=O)O)C(=O)O,6
[13*][C@H]1C[C@@H](O)[C@H]([15*])[C@@H](C)O1,6
[4*][C@@H]([8*])N[5*],6
[13*][C@@H]1C[C@@H](O)C(C)(C)[C@@H]([13*])O1,6
[5*]NC([7*])C(=O)O,6
[5*]N/C=C1/CC(O)C([13*])O1,6
[7*]C(C)C([7*])O,6
[5*]NCCCC(=O)O,6
[13*][C@H]1CC[C@H](O)[C@@H](C)O1,6
[5*]N[C@H](CCCN(O)C=O)C(=O)N1NCCC[C@@H]1[13*],6
[5*]NCCC(=O)O,6
[8*]CCCC(C)C,6
[1*]C(=O)CC(O)(CC(=O)O)C(=O)O,6
[7*]CC(C)C(O)C(C)C(O)C[7*],6
[1*]C(=O)C(CCCN(O)C=O)N[5*],6
[8*]CCCC(=O)O,6
[1*]C(=O)CC(N)C(=O)O,6
[5*]NC1CC(=O)NC(C)C([13*])NC(=O)C([13*])NC1=O,6
[1*]C(=O)C(CCCN(O)C(C)=O)N[5*],6
[5*]N[C@H](C(=O)O)[C@@H](C)O,6
[1*]C(=O)[C@H](N[5*])[C@@H](O)C(C)C,6
[1*]C(=O)[C@H](C[4*])N[5*],6
[7*]C1COC([13*])C1[7*],6
[7*]CCCC[C@H](C)C[C@@H]([8*])C,6
[16*]c1ccc(Cl)cc1[16*],6
[16*]c1cc([16*])c2c(c1)OCO2,6
[13*][C@@H]1O[C@H]([13*])[C@H](O)[C@H](O)[C@H]1O,5
[8*]Cc1cc(O)cc(=O)o1,5
[5*]NCCCC[C@@H](CO)N[5*],5
[14*]c1nccs1,5
[8*]CCCCCCCCCCCCC(C)C,5
[3*]OC([8*])C,5
[13*]C1CCCCN1C,5
[5*]NC(C[8*])CC(C)C(=O)O,5
[3*]OC([8*])CC([4*])C(C)C,5
[5*]N[C@@H](C[8*])C[C@H](C)C(=O)O,5
[3*]O[C@@H]([8*])C[C@@H]([4*])C(C)C,5
[13*][C@H]1CCCCN1C,5
[3*]O[C@@H]1C[C@@H](O)[C@@H]([15*])[C@H](C)O1,5
[13*][C@@H]1C[C@@H](O)[C@@H]([15*])[C@H](C)O1,5
[3*]O[C@H]1[C@@H](O)[C@H]([13*])O[C@@H]1[13*],5
[3*]O[C@@H]1O[C@H]([13*])[C@@H]([15*])[C@H]1O,5
[3*]O[C@@H]1O[C@H]([13*])[C@@H](O[3*])[C@H]1O,5
[16*]c1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2,5
[13*][C@@H]1CC[C@H]([13*])O1,5
[6*]C(=O)/C=C\O,5
[5*]N[C@@H]1CCCCN(O)C1=O,5
[4*][C@H]([8*])C,5
[7*]Cc1ccccc1C,5
[9*]n1cnc2c1NC=NC[C@H]2O,5
[3*]O[C@@H](C)[C@@H](O)C[7*],5
[4*]CC[4*],5
[5*]NCCN[5*],5
[1*]C(=O)C[C@H](O)CCCCCCCCCCC,5
[1*]C(=O)[C@@H](CCN)N[5*],5
[7*]C(C)C([7*])C,5
[7*]C(C)CCC(=O)O,5
[13*][C@H]1C[C@H](O)[C@H]([15*])[C@@H](C)O1,5
[1*]C(=O)CCCCCCCCC,5
[1*]C(=O)CCC(=O)N(O)CCCCCN,5
[1*]C(=O)CCC(=O)N(O)CCCCCN[5*],5
[5*]NCCCN(O)C(C)=O,5
[7*]CC(C)C(O)C([7*])C,5
[1*]C(=O)C(C)CC,5
[16*]c1cc([16*])c([16*])c(C)c1,5
[16*]c1cc([16*])c(Cl)c(C)c1[16*],5
[1*]C(=O)CC(O)CCCCCCCCCCCC[4*],5
[16*]c1c[nH]c2c([16*])cccc12,5
[8*]Cc1c[nH]c2c([16*])cccc12,5
[3*]O[C@@H]1CC[C@H]2C[C@@H]([13*])N([5*])[C@H]2C1,5
[14*]c1cc2c([nH]c3ccccc32)c([14*])n1,5
[1*]C(=O)[C@H](CCC(=O)O)N[5*],5
[13*]C1(C)CO1,5
[13*]C1([13*])CO1,5
[1*]C(=O)[C@@H](N)C(C)CC,5
[4*]C(C)C(=S)N[5*],5
[5*]NC(=S)C(N[5*])C(C)C,5
[7*]Cc1oc(=O)cc([16*])c1C,5
[13*]C1CC([15*])C(O)C(C)O1,5
[13*][C@H]1C[C@H]([15*])[C@H]([15*])[C@H](C)O1,5
[3*]O[C@@H]1[C@H](C)O[C@@H]([13*])C[C@@H]1[15*],5
